product_category_id,product_category,weight,footprint
1,Aircon/dehumidifier,7.6,99.41
2,Battery/charger/adapter,1.65,26.65
3,Decorative or safety lights,0.46,14.72
4,Desktop computer,6.69,414.17
5,Digital compact camera,0.48,29.73
6,DSLR/video camera,0.59,16.03
7,Fan,3.9,15.6
8,Flat screen,8.268,308.952
9,Hair & beauty item,0.67,10.28
10,Handheld entertainment device,0.14,22.71
11,Headphones,0.4,3
12,Hi-Fi integrated,8.95,186.5
13,Hi-Fi separates,8.72,123.86
14,Kettle,1.25,44.32
15,Lamp,2.68,14.96
16,Laptop,1.83,265.32
17,Large home electrical,10,26.65
18,Misc,0,0
19,Mobile,0.15,50.51
20,Musical instrument,17.7,109.5
21,Paper shredder,3.8,59.5
22,PC accessory,0.44,15.94
23,Portable radio,2.06,54.65
24,Power tool,1.65,26.65
25,Printer/scanner,12.47,100.69
26,Projector,2.68,57.58
27,Sewing machine,8.6,35
28,Small home electrical,2.95,30.9
29,Small kitchen item,2.95,30.9
30,Tablet,0.77,114.49
31,Toaster,1.47,8.13
32,Toy,0.93,10.4
33,TV and gaming-related accessories,1.99,51.33
34,Vacuum,6.8,36.01
35,Watch/clock,1.3,28.29
36,Coffee maker,1.28,17.5
37,Food processor,2.95,30.9
38,Games console,3.22,140.67
39,Hair dryer,0.67,10.28
40,Iron,1.17,11