product_category,product,unu_str,unu_key
Misc,Tauchpumpe,"Household Tools (f.i. drills, saws, high pressure cleaners, lawn mowers)",601
Misc,Autoschlüssel,"Small Consumer Electronics (f.i. headphones, remote controls)",401
Misc,Cassette tape,"Portable Audio & Video (f.i. MP3, e-readers, car navigation)",402
Misc,Hoverboard,"Toys (f.i. car racing sets, electric trains, music toys, biking computers)",701
Misc,Alarmanlage,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",201
Misc,Air dryer,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",201
Misc,Car wireless key chain,"Small Consumer Electronics (f.i. headphones, remote controls)",401
Misc,Digital Multimeter,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",201
Misc,Mini component system,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",201
Misc,SDHD Camera Card,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",201
Misc,Visionneuse Photo,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",201
Misc,fer souder,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",201
Misc,heated motorcycle jacket,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",201
Misc,mixing desk,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",201
Large home electrical,Ultrasonice cleaner,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",201